image_id,feed_id,frame_number,frame_path,bbox,plate_width_px,plate_height_px,plate_area_px,plate_area_frac,plate_aspect,plate_size_category,detection_confidence,detection_source,blur_score,brightness,contrast,glare,crop_quality,skew_deg,angle_category,touches_border,lighting,vehicles_in_frame,readability,ocr_text,ocr_confidence,difficulty,needs_human_review,review_reason,split,image_file,unit,frame_blur_score,frame_brightness,frame_contrast,visibility,occlusion,ocr_readable,difficulty_category,label_source,adjudicated_by,verified_by_human,proposal_id
cam01_10012_1366_614_111x63,cam01,10012,D:\tessttt\testttttt\reports\deep\frames\cam01_0012.jpg,"[57.7, 43.3, 65.7, 46.8]",8.1,3.5,28.35,0.0041,2.3143,VERY_SMALL,0.3668,vehicle_crop,2312.9097,164.6667,16.7747,0.0,0.4718,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'unreadable']",False,,val,images/val/cam01_10012_1366_614_111x63.jpg,vehicle_crop,655.884,132.12,76.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000015
cam01_10013_341_662_443x343,cam01,10013,D:\tessttt\testttttt\reports\deep\frames\cam01_0013.jpg,"[125.6, 274.6, 164.7, 285.4]",39.1,10.8,422.28,0.0028,3.6204,MEDIUM,0.4092,vehicle_crop,6785.0121,127.2704,48.4957,0.0,0.6789,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,val,images/val/cam01_10013_341_662_443x343.jpg,vehicle_crop,847.557,135.94,77.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000017
cam01_10013_747_616_104x106,cam01,10013,D:\tessttt\testttttt\reports\deep\frames\cam01_0013.jpg,"[32.7, 61.0, 45.2, 64.1]",12.5,3.1,38.75,0.0035,4.0323,SMALL,0.2962,vehicle_crop,2972.2301,125.4872,28.6445,0.0,0.5587,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10013_747_616_104x106.jpg,vehicle_crop,847.557,135.94,77.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000018
cam01_10013_1570_661_174x104,cam01,10013,D:\tessttt\testttttt\reports\deep\frames\cam01_0013.jpg,"[117.7, 68.6, 137.0, 73.4]",19.3,4.8,92.64,0.0051,4.0208,SMALL,0.5604,vehicle_crop,1403.1544,134.53,23.5964,0.0,0.5515,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'unreadable']",False,,val,images/val/cam01_10013_1570_661_174x104.jpg,vehicle_crop,847.557,135.94,77.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|unreadable,adjudicated_proposal,vlm,False,p000016
cam01_10014_356_659_434x336,cam01,10014,D:\tessttt\testttttt\reports\deep\frames\cam01_0014.jpg,"[125.2, 268.2, 164.7, 278.8]",39.6,10.6,419.76,0.0029,3.7358,MEDIUM,0.2372,vehicle_crop,5748.8156,126.9282,47.4576,0.0,0.675,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,val,images/val/cam01_10014_356_659_434x336.jpg,vehicle_crop,811.719,135.95,77.3,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000021
cam01_10015_747_615_103x106,cam01,10015,D:\tessttt\testttttt\reports\deep\frames\cam01_0015.jpg,"[52.5, 77.9, 58.4, 81.2]",5.9,3.3,19.47,0.0018,1.7879,EXTREMELY_TINY,0.2579,vehicle_crop,2866.2899,103.1667,24.3133,0.0,0.5059,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10015_747_615_103x106.jpg,vehicle_crop,816.014,136.33,76.72,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000023
cam01_10015_936_505_87x96,cam01,10015,D:\tessttt\testttttt\reports\deep\frames\cam01_0015.jpg,"[71.6, 79.2, 78.7, 81.6]",7.0,2.3,16.1,0.0019,3.0435,EXTREMELY_TINY,0.473,vehicle_crop,9742.2653,91.0714,26.7407,0.0,0.5027,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'unreadable']",False,,val,images/val/cam01_10015_936_505_87x96.jpg,vehicle_crop,816.014,136.33,76.72,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000022
cam01_10016_393_606_117x85,cam01,10016,D:\tessttt\testttttt\reports\deep\frames\cam01_0016.jpg,"[48.3, 53.9, 54.7, 56.4]",6.4,2.5,16.0,0.0016,2.56,EXTREMELY_TINY,0.3304,vehicle_crop,485.7654,20.7778,11.6455,0.0,0.3735,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10016_393_606_117x85.jpg,vehicle_crop,800.271,135.79,77.54,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000024
cam01_10016_720_615_135x106,cam01,10016,D:\tessttt\testttttt\reports\deep\frames\cam01_0016.jpg,"[43.9, 60.5, 53.3, 64.2]",9.5,3.7,35.15,0.0025,2.5676,VERY_SMALL,0.2793,vehicle_crop,4187.05,65.975,31.1364,0.0,0.4959,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10016_720_615_135x106.jpg,vehicle_crop,800.271,135.79,77.54,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000025
cam01_10017_1062_783_193x181,cam01,10017,D:\tessttt\testttttt\reports\deep\frames\cam01_0017.jpg,"[64.2, 123.2, 102.0, 135.5]",37.8,12.3,464.94,0.0133,3.0732,MEDIUM,0.8434,vehicle_crop,4810.8696,117.5658,38.0722,0.0,0.6315,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,val,images/val/cam01_10017_1062_783_193x181.jpg,vehicle_crop,768.786,134.89,77.43,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000026
cam01_10018_1110_706_132x126,cam01,10018,D:\tessttt\testttttt\reports\deep\frames\cam01_0018.jpg,"[51.5, 84.7, 80.3, 94.6]",28.7,9.9,284.13,0.0171,2.899,MEDIUM,0.8843,vehicle_crop,4388.0764,120.5862,31.3343,0.0,0.5943,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'unreadable']",False,,val,images/val/cam01_10018_1110_706_132x126.jpg,vehicle_crop,740.436,134.82,76.78,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|unreadable,adjudicated_proposal,vlm,False,p000027
cam01_10019_396_602_116x86,cam01,10019,D:\tessttt\testttttt\reports\deep\frames\cam01_0019.jpg,"[44.4, 58.2, 51.6, 61.0]",7.2,2.8,20.16,0.002,2.5714,EXTREMELY_TINY,0.3064,vehicle_crop,352.5624,21.1905,4.9629,0.0,0.3537,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10019_396_602_116x86.jpg,vehicle_crop,757.086,134.83,76.48,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000030
cam01_10019_402_652_169x113,cam01,10019,D:\tessttt\testttttt\reports\deep\frames\cam01_0019.jpg,"[125.8, 53.8, 134.3, 56.6]",8.5,2.8,23.8,0.0012,3.0357,VERY_SMALL,0.5296,vehicle_crop,12262.4307,95.4074,50.2956,0.0,0.59,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'unreadable']",False,,val,images/val/cam01_10019_402_652_169x113.jpg,vehicle_crop,757.086,134.83,76.48,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|unreadable,adjudicated_proposal,vlm,False,p000029
cam01_10019_1101_655_110x96,cam01,10019,D:\tessttt\testttttt\reports\deep\frames\cam01_0019.jpg,"[50.0, 65.1, 70.9, 71.4]",20.9,6.3,131.67,0.0125,3.3175,SMALL,0.7748,vehicle_crop,1426.9642,115.4833,24.2105,0.0,0.547,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'unreadable']",False,,val,images/val/cam01_10019_1101_655_110x96.jpg,vehicle_crop,757.086,134.83,76.48,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|unreadable,adjudicated_proposal,vlm,False,p000028
cam01_10020_392_605_121x76,cam01,10020,D:\tessttt\testttttt\reports\deep\frames\cam01_0020.jpg,"[72.2, 51.1, 80.0, 52.7]",7.7,1.7,13.09,0.0014,4.5294,EXTREMELY_TINY,0.2107,vehicle_crop,41.4375,160.375,3.6034,0.0,0.1823,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'blur', 'low_contrast', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10020_392_605_121x76.jpg,vehicle_crop,766.468,135.68,75.97,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|blur|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000033
cam01_10020_831_579_173x158,cam01,10020,D:\tessttt\testttttt\reports\deep\frames\cam01_0020.jpg,"[154.6, 64.2, 160.9, 67.8]",6.3,3.7,23.31,0.0009,1.7027,EXTREMELY_TINY,0.2552,vehicle_crop,2878.6821,85.8889,26.5034,0.0,0.4943,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10020_831_579_173x158.jpg,vehicle_crop,766.468,135.68,75.97,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000032
cam01_10020_1096_740_165x164,cam01,10020,D:\tessttt\testttttt\reports\deep\frames\cam01_0020.jpg,"[64.2, 112.0, 99.0, 122.0]",34.8,10.0,348.0,0.0129,3.48,MEDIUM,0.728,vehicle_crop,9631.5011,135.02,60.8694,0.0,0.7023,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10020_1096_740_165x164.jpg,vehicle_crop,766.468,135.68,75.97,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000031
cam01_10021_394_608_120x68,cam01,10021,D:\tessttt\testttttt\reports\deep\frames\cam01_0021.jpg,"[69.6, 45.0, 77.8, 47.5]",8.2,2.6,21.32,0.0026,3.1538,VERY_SMALL,0.2264,vehicle_crop,3107.9961,181.125,14.641,0.0,0.4467,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10021_394_608_120x68.jpg,vehicle_crop,777.811,135.8,77.29,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000037
cam01_10021_747_620_101x100,cam01,10021,D:\tessttt\testttttt\reports\deep\frames\cam01_0021.jpg,"[28.9, 57.3, 42.5, 61.0]",13.6,3.7,50.32,0.005,3.6757,SMALL,0.3182,vehicle_crop,4415.2318,111.1607,26.9959,0.0,0.5396,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10021_747_620_101x100.jpg,vehicle_crop,777.811,135.8,77.29,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000036
cam01_10021_957_802_222x179,cam01,10021,D:\tessttt\testttttt\reports\deep\frames\cam01_0021.jpg,"[75.1, 101.7, 115.2, 113.2]",40.1,11.5,461.15,0.0116,3.487,MEDIUM,0.8671,vehicle_crop,6116.5198,125.9333,68.0809,0.0,0.7177,3.3665,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10021_957_802_222x179.jpg,vehicle_crop,777.811,135.8,77.29,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000034
cam01_10021_1105_683_127x124,cam01,10021,D:\tessttt\testttttt\reports\deep\frames\cam01_0021.jpg,"[52.2, 83.8, 79.3, 90.6]",27.2,6.8,184.96,0.0117,4.0,MEDIUM,0.8058,vehicle_crop,8738.4385,143.1323,64.9509,0.0,0.6774,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10021_1105_683_127x124.jpg,vehicle_crop,777.811,135.8,77.29,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000035
cam01_10022_406_651_165x114,cam01,10022,D:\tessttt\testttttt\reports\deep\frames\cam01_0022.jpg,"[121.8, 54.5, 130.0, 57.5]",8.2,3.0,24.6,0.0013,2.7333,VERY_SMALL,0.3106,vehicle_crop,13551.284,98.2593,50.0093,0.0,0.5922,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10022_406_651_165x114.jpg,vehicle_crop,769.698,136.0,76.76,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000040
cam01_10022_1027_719_152x143,cam01,10022,D:\tessttt\testttttt\reports\deep\frames\cam01_0022.jpg,"[57.3, 72.3, 87.9, 81.1]",30.6,8.8,269.28,0.0124,3.4773,MEDIUM,0.8493,vehicle_crop,8419.9384,133.9926,64.2046,0.0,0.6934,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10022_1027_719_152x143.jpg,vehicle_crop,769.698,136.0,76.76,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000038
cam01_10022_1094_644_110x99,cam01,10022,D:\tessttt\testttttt\reports\deep\frames\cam01_0022.jpg,"[48.7, 63.1, 70.6, 69.8]",21.9,6.6,144.54,0.0133,3.3182,MEDIUM,0.2429,vehicle_crop,10540.0806,150.4545,56.8589,0.0,0.649,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,test,images/test/cam01_10022_1094_644_110x99.jpg,vehicle_crop,769.698,136.0,76.76,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000041
cam01_10022_1360_593_153x115,cam01,10022,D:\tessttt\testttttt\reports\deep\frames\cam01_0022.jpg,"[63.0, 67.8, 74.4, 71.6]",11.4,3.7,42.18,0.0024,3.0811,SMALL,0.4768,vehicle_crop,1766.6508,75.2955,24.9605,0.0,0.4876,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_light', 'low_contrast', 'unreadable']",False,,test,images/test/cam01_10022_1360_593_153x115.jpg,vehicle_crop,769.698,136.0,76.76,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_light|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000039
cam01_10023_944_659_93x124,cam01,10023,D:\tessttt\testttttt\reports\deep\frames\cam01_0023.jpg,"[63.6, 82.7, 74.0, 88.8]",10.4,6.1,63.44,0.0055,1.7049,SMALL,0.5543,vehicle_crop,4961.8551,110.1515,48.3736,0.0,0.6037,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10023_944_659_93x124.jpg,vehicle_crop,801.346,137.38,75.65,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000044
cam01_10023_1049_673_116x102,cam01,10023,D:\tessttt\testttttt\reports\deep\frames\cam01_0023.jpg,"[54.6, 52.0, 71.7, 58.6]",17.1,6.5,111.15,0.0094,2.6308,SMALL,0.8056,vehicle_crop,8066.4517,149.3824,52.5337,0.0,0.6257,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10023_1049_673_116x102.jpg,vehicle_crop,801.346,137.38,75.65,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000042
cam01_10023_1524_629_236x152,cam01,10023,D:\tessttt\testttttt\reports\deep\frames\cam01_0023.jpg,"[134.0, 88.5, 154.2, 98.6]",20.2,10.1,204.02,0.0057,2.0,SMALL,0.7098,vehicle_crop,4229.86,102.0,50.2675,0.0,0.6191,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10023_1524_629_236x152.jpg,vehicle_crop,801.346,137.38,75.65,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000043
cam01_10023_1525_628_234x152,cam01,10023,D:\tessttt\testttttt\reports\deep\frames\cam01_0023.jpg,"[9.0, 42.0, 21.8, 47.8]",12.8,5.7,72.96,0.0021,2.2456,SMALL,0.4127,vehicle_crop,114.5656,22.3667,6.7872,0.0,0.2086,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_light', 'low_contrast', 'unreadable']",False,,test,images/test/cam01_10023_1525_628_234x152.jpg,vehicle_crop,801.346,137.38,75.65,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_light|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000045
cam01_10023_1525_628_234x152,cam01,10023,D:\tessttt\testttttt\reports\deep\frames\cam01_0023.jpg,"[190.0, 90.2, 202.8, 99.5]",12.8,9.3,119.04,0.0033,1.3763,SMALL,0.3417,vehicle_crop,3584.0071,107.4444,56.0893,0.0,0.6285,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,test,images/test/cam01_10023_1525_628_234x152.jpg,vehicle_crop,801.346,137.38,75.65,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000046
cam01_10024_914_808_206x181,cam01,10024,D:\tessttt\testttttt\reports\deep\frames\cam01_0024.jpg,"[58.9, 121.3, 99.7, 134.9]",40.8,13.5,550.8,0.0148,3.0222,MEDIUM,0.6215,vehicle_crop,4039.141,114.334,66.7312,0.0,0.7071,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,test,images/test/cam01_10024_914_808_206x181.jpg,vehicle_crop,749.801,137.35,75.95,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000048
cam01_10024_1038_636_113x86,cam01,10024,D:\tessttt\testttttt\reports\deep\frames\cam01_0024.jpg,"[81.6, 60.4, 91.9, 67.3]",10.3,6.8,70.04,0.0072,1.5147,VERY_SMALL,0.2848,vehicle_crop,4503.3967,63.9286,31.4062,0.0,0.4946,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'low_confidence', 'unreadable']",False,,test,images/test/cam01_10024_1038_636_113x86.jpg,vehicle_crop,749.801,137.35,75.95,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000049
