camera_name,external_camera_id,camera_type,installation_purpose,owning_unit,district,road_or_junction,view_direction,latitude,longitude,source_type,installation_date,permitted_local_roles,camera_serial_number,camera_vendor,camera_model,police_station_or_zone,local_admin_contact,maintenance_agency,installation_vendor,address_or_landmark,coverage_description,entry_exit_zone_description,vms_name,vms_vendor,resolution,fps,codec,retention_days,timezone,commissioning_date,attachment_ref_site_survey,attachment_ref_installation_certificate,attachment_ref_camera_photograph,x_geo_confidence,x_overlay_label,x_evidence,x_hls_url,x_rtsp_url,x_stream_live
Dolatpara Gate,GRID-011,PTZ,junction monitoring,Junagadh Grid Unit,Junagadh,Dolatpara Gate,west,21.558757,70.465922,RTSP,2026-08-25,department_operator | district_supervisor,,,,Junagadh Control Room,,,,Dolatpara Gate,town junction,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,Dolatpara Gate PTZ-1,"overlay Dolatpara Gate PTZ-1; OSM suburb | OSM-VERIFIED: OSM suburb + marketyard, two independent Dolatpara nodes",https://live.corp8.cloud/live/stream/11/index.m3u8,rtsp://live.corp8.cloud:8554/stream/11,true
"Tri Mandir Adalaj Toll Plaza, Lane 9",GRID-012,ANPR-capable,highway monitoring,Gandhinagar Grid Unit,Gandhinagar,Adalaj Toll Plaza,north,23.164692,72.582105,RTSP,2026-08-25,department_operator | district_supervisor,,,,Gandhinagar Control Room,,,,"Tri Mandir Adalaj Toll Plaza, Lane 9",toll plaza lane,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,landmark_derived,Lane 9,"frame shows boom barrier, tyre-killer, ANPR heads, Lane 9 | OSM-VERIFIED: OSM Adalaj town; Adalaj Circle at 23.168342,72.586684",https://live.corp8.cloud/live/stream/12/index.m3u8,rtsp://live.corp8.cloud:8554/stream/12,true
C.N. Vidyalaya Junction,GRID-013,ANPR-capable,traffic monitoring,Ahmedabad Grid Unit,Ahmedabad,C N Vidyalaya Cross Road,south,23.020838,72.552041,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,C.N. Vidyalaya Junction,signalised junction,,Sentinel Camera Grid,MediaMTX,1920x1080,12,H.264,,Asia/Kolkata,,,,,geocoded,CN VIDHYALAYA P2 RLVD,"overlay RLVD = red light violation detection | OSM-VERIFIED: OSM way named 'Vidyalaya' at 23.020838,72.552041",https://live.corp8.cloud/live/stream/13/index.m3u8,rtsp://live.corp8.cloud:8554/stream/13,true
Delight Circle,GRID-014,ANPR-capable,traffic monitoring,Ahmedabad Grid Unit,Ahmedabad,Delight Circle,east,23.047000,72.562000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Delight Circle,signalised junction,,Sentinel Camera Grid,MediaMTX,1920x1080,12,H.264,,Asia/Kolkata,,,,,estimated,DELIGHT P1 RLVD,overlay RLVD; WEST BANK building visible in frame,https://live.corp8.cloud/live/stream/14/index.m3u8,rtsp://live.corp8.cloud:8554/stream/14,true
Suvidha Park Junction,GRID-015,ANPR-capable,traffic monitoring,Ahmedabad Grid Unit,Ahmedabad,Suvidha Park Cross Road,west,23.014680,72.559172,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Suvidha Park Junction,signalised junction,,Sentinel Camera Grid,MediaMTX,1920x1080,12,H.264,,Asia/Kolkata,,,,,geocoded,Suvidhapark P3 RLVD,overlay Suvidhapark P3 RLVD | OSM-VERIFIED: OSM node 'Suvidha Crossroads' - exact junction match,https://live.corp8.cloud/live/stream/15/index.m3u8,rtsp://live.corp8.cloud:8554/stream/15,true
Visat T-Junction,GRID-016,ANPR-capable,traffic monitoring,Ahmedabad Grid Unit,Ahmedabad,Visat T Junction,south,23.103500,72.588000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Visat T-Junction,signalised junction,,Sentinel Camera Grid,MediaMTX,1920x1080,12,H.264,,Asia/Kolkata,,,,,landmark_derived,Visat T Junction P2 RLVD,overlay RLVD; ONGC hoarding in frame anchors to camera 3,https://live.corp8.cloud/live/stream/16/index.m3u8,rtsp://live.corp8.cloud:8554/stream/16,true
Rajkot Bus Port,GRID-017,dome,public safety,Rajkot Grid Unit,Rajkot,Rajkot Bus Port,unknown,22.295499,70.798950,RTSP,2026-08-25,department_operator | district_supervisor,,,,Rajkot Control Room,,,,Rajkot Bus Port,bus terminal,,Sentinel Camera Grid,MediaMTX,1920x1080,25,H.265,,Asia/Kolkata,,,,,geocoded,(stream down),HLS returned 500 at capture despite catalogue live=true | OSM-VERIFIED: OSM 'Rajkot New Bus Station' = the 'Bus Port' of the catalogue label,https://live.corp8.cloud/live/stream/17/index.m3u8,rtsp://live.corp8.cloud:8554/stream/17,true
Rajkot City Camera,GRID-018,fixed,public safety,Rajkot Grid Unit,Rajkot,Rajkot,unknown,22.303900,70.802200,RTSP,2026-08-25,department_operator | district_supervisor,,,,Rajkot Control Room,,,,Rajkot City Camera,urban,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,district_centroid,(stream down),HLS returned 500 at capture despite catalogue live=true,https://live.corp8.cloud/live/stream/18/index.m3u8,rtsp://live.corp8.cloud:8554/stream/18,true
Khaparia Gram Panchayat,GRID-019,fixed,public safety,Navsari Grid Unit,Navsari,Khaparia village road,north,20.830000,72.990000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Khaparia Gram Panchayat,rural village street,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,(no overlay),frame shows village street; Gandevi taluka per catalogue,https://live.corp8.cloud/live/stream/19/index.m3u8,rtsp://live.corp8.cloud:8554/stream/19,true
Mohanpura (AI IPC),GRID-020,fixed,public safety,Navsari Grid Unit,Navsari,Mohanpura road,east,20.850000,73.000000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Mohanpura (AI IPC),"rural, coconut palms",,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,AI IPC,frame shows AI person-detection bounding box; S-Gujarat vegetation,https://live.corp8.cloud/live/stream/20/index.m3u8,rtsp://live.corp8.cloud:8554/stream/20,true
Dethali Char Rasta,GRID-021,fixed,junction monitoring,Patan Grid Unit,Patan,Dethali Char Rasta,north,23.916593,72.361148,RTSP,2026-08-25,department_operator | district_supervisor,,,,Patan Control Room,,,,Dethali Char Rasta,rural crossroads,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,Dethali Char Rasta_FIX1,overlay Dethali Char Rasta_FIX1; OSM road match | OSM-VERIFIED: OSM 'Dethali Circle' - exact junction match,https://live.corp8.cloud/live/stream/21/index.m3u8,rtsp://live.corp8.cloud:8554/stream/21,true
Mervada Three-Way Junction,GRID-022,fixed,junction monitoring,Banaskantha Grid Unit,Banaskantha,Mervada Tran Rasta,unknown,24.170000,72.430000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Banaskantha Control Room,,,,Mervada Three-Way Junction,rural junction,,Sentinel Camera Grid,MediaMTX,1920x1080,25,H.265,,Asia/Kolkata,,,,,district_centroid,(unreachable),capture timed out; catalogue reports hevc 1920x1080,https://live.corp8.cloud/live/stream/22/index.m3u8,rtsp://live.corp8.cloud:8554/stream/22,true
Kheram village road,GRID-023,fixed,public safety,Navsari Grid Unit,Navsari,Kheram village road,north,20.860000,73.050000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Kheram village road,rural lane with palms,,Sentinel Camera Grid,MediaMTX,1280x720,25,H.264,,Asia/Kolkata,,,,,estimated,Camera 01,frame shows rural lane; overlay is generic Camera 01,https://live.corp8.cloud/live/stream/23/index.m3u8,rtsp://live.corp8.cloud:8554/stream/23,true
Dehgam town road,GRID-024,fixed,public safety,Gandhinagar Grid Unit,Gandhinagar,Dehgam town road,north,23.164033,72.881832,RTSP,2026-08-25,department_operator | district_supervisor,,,,Gandhinagar Control Room,,,,Dehgam town road,small town street,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,Camera 01,overlay generic Camera 01; OSM Dehgam,https://live.corp8.cloud/live/stream/24/index.m3u8,rtsp://live.corp8.cloud:8554/stream/24,true
Dhanori Gram Panchayat,GRID-025,fixed,public safety,Navsari Grid Unit,Navsari,Dhanori village road,north,20.838862,73.023955,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Dhanori Gram Panchayat,rural panchayat,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,GRAM PANCHAYAT 1,"overlay GRAM PANCHAYAT 1 | OSM-VERIFIED: OSM 'Civil Hospital, Dhanori'",https://live.corp8.cloud/live/stream/25/index.m3u8,rtsp://live.corp8.cloud:8554/stream/25,true
Tankal village junction,GRID-026,fixed,public safety,Navsari Grid Unit,Navsari,Tankal road,east,20.859893,73.115038,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Tankal village junction,village street,,Sentinel Camera Grid,MediaMTX,2560x1440,13,H.265,,Asia/Kolkata,,,,,geocoded,CP IP Cam,"overlay CP IP Cam | OSM-VERIFIED: OSM way 'Tankal' village centre; PHC Tankal at 20.860591,73.130617",https://live.corp8.cloud/live/stream/26/index.m3u8,rtsp://live.corp8.cloud:8554/stream/26,true
Bilimora Bus Station - bay apron,GRID-027,fixed,public safety,Navsari Grid Unit,Navsari,Bilimora Bus Station,north,20.767169,72.969345,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Bilimora Bus Station - bay apron,GSRTC bus bays,,Sentinel Camera Grid,MediaMTX,1280x960,25,H.264,,Asia/Kolkata,,,,,landmark_derived,IPC,"frame shows GSRTC buses, boarding bays, tactile paving | OSM-VERIFIED: OSM Bilimora town; the bus station itself is not mapped in OSM",https://live.corp8.cloud/live/stream/27/index.m3u8,rtsp://live.corp8.cloud:8554/stream/27,true
Bilimora Bus Station - concourse,GRID-028,fixed,public safety,Navsari Grid Unit,Navsari,Bilimora Bus Station,north,20.766635,72.970008,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Bilimora Bus Station - concourse,indoor concourse,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,landmark_derived,IPC,frame shows indoor corridor and ticket windows | OSM-VERIFIED: OSM node 'Bilimora Junction',https://live.corp8.cloud/live/stream/28/index.m3u8,rtsp://live.corp8.cloud:8554/stream/28,true
Bilimora Bus Station - waiting hall,GRID-029,fixed,public safety,Navsari Grid Unit,Navsari,Bilimora Bus Station,south,20.766635,72.970008,RTSP,2026-08-25,department_operator | district_supervisor,,,,Navsari Control Room,,,,Bilimora Bus Station - waiting hall,indoor waiting hall,,Sentinel Camera Grid,MediaMTX,1280x960,25,H.264,,Asia/Kolkata,,,,,landmark_derived,IPC,"frame shows benches, timetable boards, Gujarati signage | OSM-VERIFIED: OSM node 'Bilimora Junction'",https://live.corp8.cloud/live/stream/29/index.m3u8,rtsp://live.corp8.cloud:8554/stream/29,true
"Hiralal Parakh Circle, Rambaug",GRID-030,PTZ,junction monitoring,Kutch Grid Unit,Kutch,Hiralal Parakh Circle,north,23.075403,70.090851,RTSP,2026-08-25,department_operator | district_supervisor,,,,Kutch Control Room,,,,"Hiralal Parakh Circle, Rambaug",town circle,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,GDM-Rambaugh_PTZ2,"overlay GDM-Rambaugh_PTZ2; circle nameplate legible in frame | OSM-VERIFIED: OSM 'Rambaug' Gandhidham at 23.075403,70.090851",https://live.corp8.cloud/live/stream/30/index.m3u8,rtsp://live.corp8.cloud:8554/stream/30,true
