camera_no,site_name,district,latitude,longitude,google_maps_link,facing,facing_basis,geo_confidence,geo_source,stream_url_to_open,rtsp_url,codec,resolution,fps,stream_status
11,Dolatpara Gate,Junagadh,21.558757,70.465922,"https://www.google.com/maps?q=21.558757,70.465922",West,unconfirmed,geocoded,"OSM suburb + marketyard, two independent Dolatpara nodes",https://live.corp8.cloud/live/stream/11/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/11,not probed,not probed,not probed,LIVE
12,"Tri Mandir Adalaj Toll Plaza, Lane 9",Gandhinagar,23.164692,72.582105,"https://www.google.com/maps?q=23.164692,72.582105",North,toll lane direction,landmark_derived,"OSM Adalaj town; Adalaj Circle 23.168342,72.586684",https://live.corp8.cloud/live/stream/12/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/12,not probed,not probed,not probed,LIVE
13,C.N. Vidyalaya Junction,Ahmedabad,23.020838,72.552041,"https://www.google.com/maps?q=23.020838,72.552041",South,unconfirmed,geocoded,OSM way named 'Vidyalaya',https://live.corp8.cloud/live/stream/13/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/13,H.264,1920x1080,12.5,LIVE
14,Delight Circle,Ahmedabad,23.047000,72.562000,"https://www.google.com/maps?q=23.047000,72.562000",East,unconfirmed,estimated,'WEST BANK' facade legible in frame but absent from OSM,https://live.corp8.cloud/live/stream/14/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/14,H.264,1920x1080,12.5,LIVE
15,Suvidha Park Junction,Ahmedabad,23.014680,72.559172,"https://www.google.com/maps?q=23.014680,72.559172",West,unconfirmed,geocoded,OSM node 'Suvidha Crossroads' - exact junction match,https://live.corp8.cloud/live/stream/15/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/15,H.264,1920x1080,12.5,LIVE
16,Visat T-Junction,Ahmedabad,23.103500,72.588000,"https://www.google.com/maps?q=23.103500,72.588000",South,unconfirmed,landmark_derived,ONGC hoarding in frame anchors to camera 3,https://live.corp8.cloud/live/stream/16/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/16,H.264,1920x1080,12.5,LIVE
17,Rajkot Bus Port,Rajkot,22.295499,70.798950,"https://www.google.com/maps?q=22.295499,70.798950",Unknown,"stream down, never seen",geocoded,OSM 'Rajkot New Bus Station',https://live.corp8.cloud/live/stream/17/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/17,H.265,1920x1080,25.0,DOWN (catalogue says live)
18,Rajkot City Camera,Rajkot,22.303900,70.802200,"https://www.google.com/maps?q=22.303900,70.802200",Unknown,"stream down, never seen",district_centroid,no location detail available,https://live.corp8.cloud/live/stream/18/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/18,not probed,not probed,not probed,DOWN (catalogue says live)
19,Khaparia Gram Panchayat,Navsari,20.830000,72.990000,"https://www.google.com/maps?q=20.830000,72.990000",North,unconfirmed,estimated,no OSM match; Gandevi taluka per catalogue label,https://live.corp8.cloud/live/stream/19/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/19,not probed,not probed,not probed,LIVE
20,Mohanpura (AI IPC),Navsari,20.850000,73.000000,"https://www.google.com/maps?q=20.850000,73.000000",East,unconfirmed,estimated,no OSM match; S-Gujarat vegetation in frame,https://live.corp8.cloud/live/stream/20/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/20,not probed,not probed,not probed,LIVE
21,Dethali Char Rasta,Patan,23.916593,72.361148,"https://www.google.com/maps?q=23.916593,72.361148",North,unconfirmed,geocoded,OSM 'Dethali Circle' - exact junction match,https://live.corp8.cloud/live/stream/21/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/21,not probed,not probed,not probed,LIVE
22,Mervada Three-Way Junction,Banaskantha,24.170000,72.430000,"https://www.google.com/maps?q=24.170000,72.430000",Unknown,stream unreachable,district_centroid,no OSM match; never captured a frame,https://live.corp8.cloud/live/stream/22/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/22,H.265,1920x1080,25.0,DOWN (catalogue says live)
23,Kheram village road,Navsari,20.860000,73.050000,"https://www.google.com/maps?q=20.860000,73.050000",North,unconfirmed,estimated,no OSM match; overlay is generic 'Camera 01',https://live.corp8.cloud/live/stream/23/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/23,H.264,1280x720,25.0,LIVE
24,Dehgam town road,Gandhinagar,23.164033,72.881832,"https://www.google.com/maps?q=23.164033,72.881832",North,unconfirmed,geocoded,OSM Dehgam,https://live.corp8.cloud/live/stream/24/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/24,not probed,not probed,not probed,LIVE
25,Dhanori Gram Panchayat,Navsari,20.838862,73.023955,"https://www.google.com/maps?q=20.838862,73.023955",North,unconfirmed,geocoded,"OSM 'Civil Hospital, Dhanori'",https://live.corp8.cloud/live/stream/25/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/25,not probed,not probed,not probed,LIVE
26,Tankal village junction,Navsari,20.859893,73.115038,"https://www.google.com/maps?q=20.859893,73.115038",East,unconfirmed,geocoded,OSM way 'Tankal' village centre,https://live.corp8.cloud/live/stream/26/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/26,H.265,2560x1440,13.3,LIVE
27,Bilimora Bus Station - bay apron,Navsari,20.767169,72.969345,"https://www.google.com/maps?q=20.767169,72.969345",North,unconfirmed,landmark_derived,OSM Bilimora town; bus station not mapped in OSM,https://live.corp8.cloud/live/stream/27/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/27,H.264,1280x960,24.9,LIVE
28,Bilimora Bus Station - concourse,Navsari,20.766635,72.970008,"https://www.google.com/maps?q=20.766635,72.970008",North,indoor camera,landmark_derived,OSM node 'Bilimora Junction',https://live.corp8.cloud/live/stream/28/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/28,not probed,not probed,not probed,LIVE
29,Bilimora Bus Station - waiting hall,Navsari,20.766635,72.970008,"https://www.google.com/maps?q=20.766635,72.970008",South,indoor camera,landmark_derived,OSM node 'Bilimora Junction',https://live.corp8.cloud/live/stream/29/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/29,H.264,1280x960,24.8,LIVE
30,"Hiralal Parakh Circle, Rambaug",Kutch,23.075403,70.090851,"https://www.google.com/maps?q=23.075403,70.090851",North,unconfirmed,geocoded,OSM 'Rambaug' Gandhidham; circle nameplate legible in frame,https://live.corp8.cloud/live/stream/30/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/30,not probed,not probed,not probed,LIVE
