image,text,track,width_px,height_px,source,label_source
images/21c071cd_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,167,90,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_292_HR25E0208.jpg,HR26CC2083,292,138,52,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_292_HR26CC2083.jpg,HR26CC2083,292,137,53,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_292_TR25E0208.jpg,HR26CC2083,292,135,54,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_294_HR260080.jpg,HR26CC2083,294,183,82,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_294_HR28O2089.jpg,HR26CC2083,294,151,63,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_58_UP13IAY3893.jpg,UP13AY3893,58,171,57,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_64_UP78FH929.jpg,DL7CR3761,64,132,59,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_64_UP78FH9291.jpg,DL7CR3761,64,132,59,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_83_HR26CC2083.jpg,HR26CC2083,83,257,150,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b64d5531_122_UP13IAY3893.jpg,UP13AY3893,122,171,57,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b64d5531_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,170,91,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b64d5531_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b64d5531_60_DL3SBW7737.jpg,DL5SBW7737,60,145,39,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b88739ba_1_11CD5334.jpg,DL1CQ5334|DL1CO5334,1,55,29,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b88739ba_212_DL13CA2927.jpg,DL13CA2927,212,70,42,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b88739ba_215_DL13CA2327.jpg,DL13CA2927,215,53,25,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b88739ba_244_DL13CA2927.jpg,DL13CA2927,244,72,43,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/b88739ba_2_DL14CE5987.jpg,DL14CE5987,2,96,52,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/cb670b9c_17_UP13AY3893.jpg,UP13AY3893,17,169,58,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/cb670b9c_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,170,91,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/cb670b9c_21_DL3SBW7737.jpg,DL5SBW7737,21,145,39,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/cb670b9c_28_DL7CR3761.jpg,DL7CR3761,28,137,59,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/cb670b9c_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/dd2ca725_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,167,90,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/dd2ca725_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
